,title,description,channelId,thumbnails,etag,id,kind,snippet,keywords,topicIds,topicCategories,videoCount,viewCount,subscriberCount
0,이서니,,UCcL8PoeJCC6DwAcKyzw_eQg,https://yt3.ggpht.com/-CpKeQvJySak/AAAAAAAAAAI/AAAAAAAAAAA/rHG34FVuhtU/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/dhNNLrIxUTIz2xok-Ps_LjNHC0k""",XMm1RFsYKmtAqoa2erMGw1z5bX_IrrDeu4d_EgVAFFc,youtube#subscription,"{'publishedAt': '2020-03-05T14:41:04.125Z', 'title': '이서니', 'description': '', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCcL8PoeJCC6DwAcKyzw_eQg'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-CpKeQvJySak/AAAAAAAAAAI/AAAAAAAAAAA/rHG34FVuhtU/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-CpKeQvJySak/AAAAAAAAAAI/AAAAAAAAAAA/rHG34FVuhtU/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-CpKeQvJySak/AAAAAAAAAAI/AAAAAAAAAAA/rHG34FVuhtU/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}","리그오브레전드 이서니 뉴메타 개짓거리 ""롤 유튜버"" 롤토체스 ""롤 방송"" ""롤 공략"" ""롤 강의"" ""롤 교육영상"" ""롤 예능"" 카직스 렝가","['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/0403l3g', '/m/025zzc']","['https://en.wikipedia.org/wiki/Video_game_culture', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game']",3396,145859957,183000
1,엔마유튜브,"제라스장인/메타를 소개하는 남자
메소남 엔마입니다.
롤말고 다른것도 많이합니다 재밌게봐주세용 :)
월, 수, 금 저녁 8시~11시 방송합니다!",UCF-rFAdN7dzd-SI2T3rkCaQ,https://yt3.ggpht.com/-HQdcXajwans/AAAAAAAAAAI/AAAAAAAAAAA/Pth0ya38rgo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/BIvGGGHh-T66W_vMCZcFcjwkUFc""",XMm1RFsYKmtAqoa2erMGw2-_zhRy5SidEeP32uxncVg,youtube#subscription,"{'publishedAt': '2020-01-15T09:40:40.624Z', 'title': '엔마유튜브', 'description': '제라스장인/메타를 소개하는 남자\n메소남 엔마입니다.\n롤말고 다른것도 많이합니다 재밌게봐주세용 :)\n월, 수, 금 저녁 8시~11시 방송합니다!', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCF-rFAdN7dzd-SI2T3rkCaQ'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-HQdcXajwans/AAAAAAAAAAI/AAAAAAAAAAA/Pth0ya38rgo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-HQdcXajwans/AAAAAAAAAAI/AAAAAAAAAAA/Pth0ya38rgo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-HQdcXajwans/AAAAAAAAAAI/AAAAAAAAAAA/Pth0ya38rgo/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}","롤 제라스 ""제라스 장인"" ""롤 제라스 장인"" ""종합 게임 채널"" 메소남 ""메타를소개하는 남자"" ""롤 크리에이터"" ""롤 유튜버"" ""라이엇 크리에엍"" 뽀속좌 뽀얀속살좌","['/m/0403l3g', '/m/025zzc', '/m/0bzvm2', '/m/0403l3g', '/m/025zzc']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",428,67451737,183000
2,포프TV,"탑 프로그래머/엔지니어가 즐겨보는 유튜브 채널 포프TV

전 피파, 헤일로, 마인크래프트, 스페이스 마린 등 게임 개발자(선임 렌더링 엔지니어), 실리콘 밸리 CTO, 컴공 대학 교수이자 현 포큐 아카데미의 CEO인 김포프의 개인 비디오 블로깅 채널

보통 훌륭하고 오랫동안 살아남는 탑 엔지니어가 되는 법에 대해 말하나... 언제나 기술에  대해 말한다고는 장담할 수 없음

자세한 프로필은 링크드인 참조:
https://www.linkedin.com/in/popekim",UC63J0Q5huHSlbNT3KxvAaHQ,https://yt3.ggpht.com/-nGQgbxEwwUg/AAAAAAAAAAI/AAAAAAAAAAA/NNJCEpRsrRc/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/_cJc-rq-rBUd_jIw84v4jUeWwnM""",XMm1RFsYKmtAqoa2erMGwxdquHhweIV3Xv-t3zVtNLw,youtube#subscription,"{'publishedAt': '2019-01-01T15:53:21.972Z', 'title': '포프TV', 'description': '탑 프로그래머/엔지니어가 즐겨보는 유튜브 채널 포프TV\n\n전 피파, 헤일로, 마인크래프트, 스페이스 마린 등 게임 개발자(선임 렌더링 엔지니어), 실리콘 밸리 CTO, 컴공 대학 교수이자 현 포큐 아카데미의 CEO인 김포프의 개인 비디오 블로깅 채널\n\n보통 훌륭하고 오랫동안 살아남는 탑 엔지니어가 되는 법에 대해 말하나... 언제나 기술에  대해 말한다고는 장담할 수 없음\n\n자세한 프로필은 링크드인 참조:\nhttps://www.linkedin.com/in/popekim', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UC63J0Q5huHSlbNT3KxvAaHQ'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-nGQgbxEwwUg/AAAAAAAAAAI/AAAAAAAAAAA/NNJCEpRsrRc/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-nGQgbxEwwUg/AAAAAAAAAAI/AAAAAAAAAAA/NNJCEpRsrRc/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-nGQgbxEwwUg/AAAAAAAAAAI/AAAAAAAAAAA/NNJCEpRsrRc/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",프로그래밍 기술동향 게임개발 웹개발 코딩교육,NULL,NULL,571,7307293,59600
3,승우아빠 일상채널,"🎁 승소리 포장 출력소 🎁
🗯️ 게임, 일상, 흑우리뷰 🗯️",UCs1R9zP6rH2GlTNHUI5SBkw,https://yt3.ggpht.com/-6XLk13REPnc/AAAAAAAAAAI/AAAAAAAAAAA/s8UW3SR2K8o/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/rdPrNR38Dp1aQH96RDBpOvMBhmk""",XMm1RFsYKmvBkbp-hf4Ryg0vUu7KxIYHgJDa45uTiuA,youtube#subscription,"{'publishedAt': '2020-04-04T13:33:37.056Z', 'title': '승우아빠 일상채널', 'description': '🎁 승소리 포장 출력소 🎁\n🗯️ 게임, 일상, 흑우리뷰 🗯️', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCs1R9zP6rH2GlTNHUI5SBkw'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-6XLk13REPnc/AAAAAAAAAAI/AAAAAAAAAAA/s8UW3SR2K8o/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-6XLk13REPnc/AAAAAAAAAAI/AAAAAAAAAAA/s8UW3SR2K8o/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-6XLk13REPnc/AAAAAAAAAAI/AAAAAAAAAAA/s8UW3SR2K8o/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",승우아빠,"['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/025zzc', '/m/0403l3g']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",68,3998936,51700
4,노마드 코더 Nomad Coders,"한국인 린과 콜롬비아인 니꼴라스의 프로젝트 ""노마드 코더"" 입니다.
2015년 떠나, 현재까지 원하는 곳에서 일하며, 살고 있습니다.
+
+ 
Nomad Academy: https://academy.nomadcoders.co
Facebook: facebook.com/nomadcoders/
Website: http://nomadcoders.co
Email: lynn@nomadcoders.co",UCUpJs89fSBXNolQGOYKn0YQ,https://yt3.ggpht.com/-CTwXMuZRaWw/AAAAAAAAAAI/AAAAAAAAAAA/HTJy-KJ4F2c/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/ff50cG1yssS-McjuJQSwD1wnttg""",XMm1RFsYKmsKG2GYc6kuBpZuKjG2xWAgDZWcWW9bkSA,youtube#subscription,"{'publishedAt': '2018-11-04T15:02:36.322Z', 'title': '노마드 코더 Nomad Coders', 'description': '한국인 린과 콜롬비아인 니꼴라스의 프로젝트 ""노마드 코더"" 입니다.\n2015년 떠나, 현재까지 원하는 곳에서 일하며, 살고 있습니다.\n+\n+ \nNomad Academy: https://academy.nomadcoders.co\nFacebook: facebook.com/nomadcoders/\nWebsite: http://nomadcoders.co\nEmail: lynn@nomadcoders.co', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCUpJs89fSBXNolQGOYKn0YQ'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-CTwXMuZRaWw/AAAAAAAAAAI/AAAAAAAAAAA/HTJy-KJ4F2c/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-CTwXMuZRaWw/AAAAAAAAAAI/AAAAAAAAAAA/HTJy-KJ4F2c/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-CTwXMuZRaWw/AAAAAAAAAAI/AAAAAAAAAAA/HTJy-KJ4F2c/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",코딩 프로그래밍 programming coding 프로그래머 웹개발 개발자 developer,NULL,NULL,520,5906184,136000
5,블개,게임하는 블개입니다.,UCpSFkW-1TFYy--Ag7__0w5A,https://yt3.ggpht.com/--euZkz3uQUc/AAAAAAAAAAI/AAAAAAAAAAA/N02XJMItI5U/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/G0Lm9cRJKn36wlx7orDia2hJsuw""",XMm1RFsYKmtAqoa2erMGwz4bh0-FoPArY0TrvLeeQVY,youtube#subscription,"{'publishedAt': '2019-06-04T15:26:43.980Z', 'title': '블개', 'description': '게임하는 블개입니다.', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCpSFkW-1TFYy--Ag7__0w5A'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/--euZkz3uQUc/AAAAAAAAAAI/AAAAAAAAAAA/N02XJMItI5U/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/--euZkz3uQUc/AAAAAAAAAAI/AAAAAAAAAAA/N02XJMItI5U/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/--euZkz3uQUc/AAAAAAAAAAI/AAAAAAAAAAA/N02XJMItI5U/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}","리그오브레전드 롤 르블랑 블개 ""League Of Legend"" LOL","['/m/025zzc', '/m/0403l3g', '/m/0bzvm2', '/m/0403l3g', '/m/025zzc']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",471,86280735,241000
6,3Blue1Brown,"3blue1brown, by Grant Sanderson, is some combination of math and entertainment, depending on your disposition. The goal is for explanations to be driven by animations and for difficult problems to be made simple with changes in perspective.

Contact and FAQ: https://www.3blue1brown.com/faq",UCYO_jab_esuFRV4b17AJtAw,https://yt3.ggpht.com/-waYunpNuwpY/AAAAAAAAAAI/AAAAAAAAAAA/UwFbmYRfzyo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/llBm_ddWGJCfbQfPqB6805sOpmA""",XMm1RFsYKmtAqoa2erMGw_TUC4I-VZawToAv2nsSZxI,youtube#subscription,"{'publishedAt': '2019-12-25T09:56:03.056Z', 'title': '3Blue1Brown', 'description': '3blue1brown, by Grant Sanderson, is some combination of math and entertainment, depending on your disposition. The goal is for explanations to be driven by animations and for difficult problems to be made simple with changes in perspective.\n\nContact and FAQ: https://www.3blue1brown.com/faq', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCYO_jab_esuFRV4b17AJtAw'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-waYunpNuwpY/AAAAAAAAAAI/AAAAAAAAAAA/UwFbmYRfzyo/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-waYunpNuwpY/AAAAAAAAAAI/AAAAAAAAAAA/UwFbmYRfzyo/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-waYunpNuwpY/AAAAAAAAAAI/AAAAAAAAAAA/UwFbmYRfzyo/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",Mathematics,['/m/01k8wb'],['https://en.wikipedia.org/wiki/Knowledge'],94,128797177,2700000
7,디스커버리 채널 코리아 - Discovery Korea,"디스커버리 채널의 국내 최초 공식 유튜브 채널 오픈! 
즐거운 발견, Joy of Discovery!
세상의 모든 즐거움을 ‘구독’ 클릭 한번으로 발견해 보세요! 

리얼 라이프 엔터테인먼트 No. 1 채널 디스커버리에서 이제까지 접해보지 못한 
팩츄얼 엔터테인먼트의 세계로 여러분을 초대합니다

사람의 손길이 닿지 않는 대자연의 야생과 그 속에서의 짜릿한 탐험
상상을 완전히 뒤집어 버리는 과학적 이론과 놀라운 발견
전 세계의 기상천외한 문화와 당신의 열정에 영감을 주는 감동적인 이야기까지!
 
디스커버리 채널은 KT올레TV 177, SK BTV 261, LGU+TV 194, 스카이 라이프 130, CJ헬로 210, 
딜라이브 171, 티브로드 239번(케이블은 각 지역케이블 문의)에서 시청 가능합니다.",UCI6bxkc4WHwIHLis1Hg2jTw,https://yt3.ggpht.com/-dIufU8tu1Zc/AAAAAAAAAAI/AAAAAAAAAAA/X5Bc0Vxe-90/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/sanQt84D22H03bNcrARahTcEqEU""",XMm1RFsYKmvBkbp-hf4RyqUr5ndiZnl5ukfs2jtOQco,youtube#subscription,"{'publishedAt': '2019-07-26T10:18:11.240Z', 'title': '디스커버리 채널 코리아 - Discovery Korea', 'description': '디스커버리 채널의 국내 최초 공식 유튜브 채널 오픈! \n즐거운 발견, Joy of Discovery!\n세상의 모든 즐거움을 ‘구독’ 클릭 한번으로 발견해 보세요! \n\n리얼 라이프 엔터테인먼트 No. 1 채널 디스커버리에서 이제까지 접해보지 못한 \n팩츄얼 엔터테인먼트의 세계로 여러분을 초대합니다\n\n사람의 손길이 닿지 않는 대자연의 야생과 그 속에서의 짜릿한 탐험\n상상을 완전히 뒤집어 버리는 과학적 이론과 놀라운 발견\n전 세계의 기상천외한 문화와 당신의 열정에 영감을 주는 감동적인 이야기까지!\n \n디스커버리 채널은 KT올레TV 177, SK BTV 261, LGU+TV 194, 스카이 라이프 130, CJ헬로 210, \n딜라이브 171, 티브로드 239번(케이블은 각 지역케이블 문의)에서 시청 가능합니다.', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCI6bxkc4WHwIHLis1Hg2jTw'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-dIufU8tu1Zc/AAAAAAAAAAI/AAAAAAAAAAA/X5Bc0Vxe-90/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-dIufU8tu1Zc/AAAAAAAAAAI/AAAAAAAAAAA/X5Bc0Vxe-90/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-dIufU8tu1Zc/AAAAAAAAAAI/AAAAAAAAAAA/X5Bc0Vxe-90/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}","디스커버리 ""디스커버리 채널"" ""디스커버리 채널 코리아"" ""Discovery Korea"" 베어그릴스 ""Bear Grylls"" DCODE 다큐멘터리 다큐 예능다큐 다큐예능","['/m/02jjt', '/m/02vxn', '/m/0f2f9']","['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Television_program']",133,163846510,963000
8,청원이,"실력은 청정수급
게임에 대한 애착은 고인물급인 청원이입니다 ㅎㅎ
게임을 안하는 사람도 손가락이 근질거리는 영상을 만들겠습니다!

너 내 동료가 되라!

트위치 주소 : https://www.twitch.tv/makelchs",UCCs1YZHxUTIbLZd-xrvvMCw,https://yt3.ggpht.com/-PmQXxGts0IA/AAAAAAAAAAI/AAAAAAAAAAA/jL3z62oSU5w/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/1W3PjDoNONkV66AyVmeUY5wflGk""",XMm1RFsYKmtAqoa2erMGwwaONWNjtfvAme0e02UgzWs,youtube#subscription,"{'publishedAt': '2020-01-26T14:16:24.233Z', 'title': '청원이', 'description': '실력은 청정수급\n게임에 대한 애착은 고인물급인 청원이입니다 ㅎㅎ\n게임을 안하는 사람도 손가락이 근질거리는 영상을 만들겠습니다!\n\n너 내 동료가 되라!\n\n트위치 주소 : https://www.twitch.tv/makelchs', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCCs1YZHxUTIbLZd-xrvvMCw'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-PmQXxGts0IA/AAAAAAAAAAI/AAAAAAAAAAA/jL3z62oSU5w/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-PmQXxGts0IA/AAAAAAAAAAI/AAAAAAAAAAA/jL3z62oSU5w/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-PmQXxGts0IA/AAAAAAAAAAI/AAAAAAAAAAA/jL3z62oSU5w/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",뉴메타 청원이 게임 리뷰 실황 순위 랭킹,"['/m/0403l3g', '/m/025zzc', '/m/0bzvm2', '/m/025zzc', '/m/0403l3g']","['https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']",128,76593818,256000
9,과나gwana,이메일: gwana9102@gmail.com,UCZVD--cl8FLRn7kmSudAuBA,https://yt3.ggpht.com/-pGasGpgx8RQ/AAAAAAAAAAI/AAAAAAAAAAA/xXpJWoeaAsE/s240-c-k-no-mo-rj-c0xffffff/photo.jpg,"""xwzn9fn_LczrfK9QS3iZcGzqRGs/KoO0yQA0iQPthVoTCqZfPO-jcs0""",XMm1RFsYKmvBkbp-hf4RygOTdw4KmMtaKeKXvX45JE0,youtube#subscription,"{'publishedAt': '2020-02-29T02:59:19.022Z', 'title': '과나gwana', 'description': '이메일: gwana9102@gmail.com', 'resourceId': {'kind': 'youtube#channel', 'channelId': 'UCZVD--cl8FLRn7kmSudAuBA'}, 'channelId': 'UCWTLxUY-0lkcLHFYz3swO1Q', 'thumbnails': {'default': {'url': 'https://yt3.ggpht.com/-pGasGpgx8RQ/AAAAAAAAAAI/AAAAAAAAAAA/xXpJWoeaAsE/s88-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'medium': {'url': 'https://yt3.ggpht.com/-pGasGpgx8RQ/AAAAAAAAAAI/AAAAAAAAAAA/xXpJWoeaAsE/s240-c-k-no-mo-rj-c0xffffff/photo.jpg'}, 'high': {'url': 'https://yt3.ggpht.com/-pGasGpgx8RQ/AAAAAAAAAAI/AAAAAAAAAAA/xXpJWoeaAsE/s800-c-k-no-mo-rj-c0xffffff/photo.jpg'}}}",요리노래 요리랩 노래요리 랩요리 노래레시피 레시피노래 비빔국수 라면볶이 라볶이 돼지고추장비빔국수 토스트소스 수프 삼겹살요리 치즈요리,"['/m/02wbm', '/m/019_rr', '/m/02wbm']","['https://en.wikipedia.org/wiki/Food', 'https://en.wikipedia.org/wiki/Lifestyle_(sociology)']",15,14792872,335000
